Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D212,LED,LED_0402_1005Metric,209.333085,-44.060585,-45,top
D213,LED,LED_0402_1005Metric,207.583085,-44.060585,-45,top
D214,LED,LED_0402_1005Metric,205.833085,-44.060585,-45,top
D215,LED,LED_0402_1005Metric,204.083085,-44.060585,-45,top
D216,LED,LED_0402_1005Metric,202.333085,-44.060585,-45,top
D217,LED,LED_0402_1005Metric,200.583085,-44.060585,-45,top
D218,LED,LED_0402_1005Metric,198.833085,-44.060585,-45,top
D219,LED,LED_0402_1005Metric,197.083085,-44.060585,-45,top
D220,LED,LED_0402_1005Metric,195.333085,-44.060585,-45,top
D221,LED,LED_0402_1005Metric,193.583085,-44.060585,-45,top
D222,LED,LED_0402_1005Metric,191.833085,-44.060585,-45,top
D223,LED,LED_0402_1005Metric,190.083085,-44.060585,-45,top
D224,LED,LED_0402_1005Metric,188.333085,-44.060585,-45,top
D225,LED,LED_0402_1005Metric,186.583085,-44.060585,-45,top
D226,LED,LED_0402_1005Metric,184.833085,-44.060585,-45,top
D227,LED,LED_0402_1005Metric,183.083085,-44.060585,-45,top
D228,LED,LED_0402_1005Metric,181.333085,-44.060585,-45,top
D229,LED,LED_0402_1005Metric,179.583085,-44.060585,-45,top
D230,LED,LED_0402_1005Metric,177.833085,-44.060585,-45,top
D231,LED,LED_0402_1005Metric,176.083085,-44.060585,-45,top
D232,LED,LED_0402_1005Metric,211.083085,-46.285585,-45,top
D233,LED,LED_0402_1005Metric,209.333085,-46.285585,-45,top
D234,LED,LED_0402_1005Metric,207.583085,-46.285585,-45,top
D235,LED,LED_0402_1005Metric,205.833085,-46.285585,-45,top
D236,LED,LED_0402_1005Metric,204.083085,-46.285585,-45,top
D237,LED,LED_0402_1005Metric,202.333085,-46.285585,-45,top
D238,LED,LED_0402_1005Metric,200.583085,-46.285585,-45,top
D239,LED,LED_0402_1005Metric,198.833085,-46.285585,-45,top
D240,LED,LED_0402_1005Metric,197.083085,-46.285585,-45,top
D241,LED,LED_0402_1005Metric,195.333085,-46.285585,-45,top
D242,LED,LED_0402_1005Metric,193.583085,-46.285585,-45,top
D243,LED,LED_0402_1005Metric,191.833085,-46.285585,-45,top
D244,LED,LED_0402_1005Metric,190.083085,-46.285585,-45,top
D245,LED,LED_0402_1005Metric,188.333085,-46.285585,-45,top
D246,LED,LED_0402_1005Metric,186.583085,-46.285585,-45,top
D247,LED,LED_0402_1005Metric,184.833085,-46.285585,-45,top
D248,LED,LED_0402_1005Metric,183.083085,-46.285585,-45,top
D249,LED,LED_0402_1005Metric,181.333085,-46.285585,-45,top
D250,LED,LED_0402_1005Metric,179.583085,-46.285585,-45,top
D251,LED,LED_0402_1005Metric,177.833085,-46.285585,-45,top
D252,LED,LED_0402_1005Metric,176.083085,-46.285585,-45,top
D253,LED,LED_0402_1005Metric,211.083085,-48.465585,-45,top
D254,LED,LED_0402_1005Metric,209.333085,-48.465585,-45,top
D255,LED,LED_0402_1005Metric,207.583085,-48.465585,-45,top
D256,LED,LED_0402_1005Metric,205.833085,-48.465585,-45,top
D257,LED,LED_0402_1005Metric,204.083085,-48.465585,-45,top
D258,LED,LED_0402_1005Metric,202.333085,-48.465585,-45,top
D259,LED,LED_0402_1005Metric,200.583085,-48.465585,-45,top
D260,LED,LED_0402_1005Metric,198.833085,-48.465585,-45,top
D261,LED,LED_0402_1005Metric,197.083085,-48.465585,-45,top
D262,LED,LED_0402_1005Metric,195.333085,-48.465585,-45,top
D263,LED,LED_0402_1005Metric,193.583085,-48.465585,-45,top
D264,LED,LED_0402_1005Metric,191.833085,-48.465585,-45,top
D265,LED,LED_0402_1005Metric,190.083085,-48.465585,-45,top
D266,LED,LED_0402_1005Metric,188.333085,-48.465585,-45,top
D267,LED,LED_0402_1005Metric,186.583085,-48.465585,-45,top
D268,LED,LED_0402_1005Metric,184.833085,-48.465585,-45,top
D269,LED,LED_0402_1005Metric,183.083085,-48.465585,-45,top
D270,LED,LED_0402_1005Metric,181.333085,-48.465585,-45,top
D271,LED,LED_0402_1005Metric,179.583085,-48.465585,-45,top
D272,LED,LED_0402_1005Metric,177.833085,-48.465585,-45,top
D273,LED,LED_0402_1005Metric,176.083085,-48.465585,-45,top
D274,LED,LED_0402_1005Metric,211.083085,-50.690585,-45,top
D275,LED,LED_0402_1005Metric,209.333085,-50.690585,-45,top
D276,LED,LED_0402_1005Metric,207.583085,-50.690585,-45,top
D277,LED,LED_0402_1005Metric,205.833085,-50.690585,-45,top
D278,LED,LED_0402_1005Metric,204.083085,-50.690585,-45,top
D279,LED,LED_0402_1005Metric,202.333085,-50.690585,-45,top
D280,LED,LED_0402_1005Metric,200.583085,-50.690585,-45,top
D281,LED,LED_0402_1005Metric,198.833085,-50.690585,-45,top
D282,LED,LED_0402_1005Metric,197.083085,-50.690585,-45,top
D283,LED,LED_0402_1005Metric,195.333085,-50.690585,-45,top
D284,LED,LED_0402_1005Metric,193.583085,-50.690585,-45,top
D285,LED,LED_0402_1005Metric,191.833085,-50.690585,-45,top
D286,LED,LED_0402_1005Metric,190.083085,-50.690585,-45,top
D287,LED,LED_0402_1005Metric,188.333085,-50.690585,-45,top
D288,LED,LED_0402_1005Metric,186.583085,-50.690585,-45,top
D289,LED,LED_0402_1005Metric,184.833085,-50.690585,-45,top
D290,LED,LED_0402_1005Metric,183.083085,-50.690585,-45,top
D291,LED,LED_0402_1005Metric,181.333085,-50.690585,-45,top
D292,LED,LED_0402_1005Metric,179.583085,-50.690585,-45,top
D293,LED,LED_0402_1005Metric,177.833085,-50.690585,-45,top
D294,LED,LED_0402_1005Metric,176.083085,-50.690585,-45,top
D295,LED,LED_0402_1005Metric,211.083085,-53.035585,-45,top
D296,LED,LED_0402_1005Metric,209.333085,-53.035585,-45,top
D297,LED,LED_0402_1005Metric,207.583085,-53.035585,-45,top
D298,LED,LED_0402_1005Metric,205.833085,-53.035585,-45,top
D299,LED,LED_0402_1005Metric,204.083085,-53.035585,-45,top
D300,LED,LED_0402_1005Metric,202.333085,-53.035585,-45,top
D301,LED,LED_0402_1005Metric,200.583085,-53.035585,-45,top
D302,LED,LED_0402_1005Metric,198.833085,-53.035585,-45,top
D303,LED,LED_0402_1005Metric,197.083085,-53.035585,-45,top
D304,LED,LED_0402_1005Metric,195.333085,-53.035585,-45,top
D305,LED,LED_0402_1005Metric,193.583085,-53.035585,-45,top
D306,LED,LED_0402_1005Metric,191.833085,-53.035585,-45,top
D307,LED,LED_0402_1005Metric,190.083085,-53.035585,-45,top
D308,LED,LED_0402_1005Metric,188.333085,-53.035585,-45,top
D309,LED,LED_0402_1005Metric,186.583085,-53.035585,-45,top
D310,LED,LED_0402_1005Metric,184.833085,-53.035585,-45,top
D311,LED,LED_0402_1005Metric,183.083085,-53.035585,-45,top
D312,LED,LED_0402_1005Metric,181.333085,-53.035585,-45,top
D313,LED,LED_0402_1005Metric,179.583085,-53.035585,-45,top
D314,LED,LED_0402_1005Metric,177.833085,-53.035585,-45,top
D315,LED,LED_0402_1005Metric,176.083085,-53.035585,-45,top
D316,LED,LED_0402_1005Metric,211.083085,-55.465585,-45,top
D317,LED,LED_0402_1005Metric,209.333085,-55.465585,-45,top
D318,LED,LED_0402_1005Metric,207.583085,-55.465585,-45,top
D319,LED,LED_0402_1005Metric,205.833085,-55.465585,-45,top
D320,LED,LED_0402_1005Metric,204.083085,-55.465585,-45,top
D321,LED,LED_0402_1005Metric,202.333085,-55.465585,-45,top
D322,LED,LED_0402_1005Metric,200.583085,-55.465585,-45,top
D323,LED,LED_0402_1005Metric,198.833085,-55.465585,-45,top
D324,LED,LED_0402_1005Metric,197.083085,-55.465585,-45,top
D325,LED,LED_0402_1005Metric,195.333085,-55.465585,-45,top
D326,LED,LED_0402_1005Metric,193.583085,-55.465585,-45,top
D327,LED,LED_0402_1005Metric,191.833085,-55.465585,-45,top
D328,LED,LED_0402_1005Metric,190.083085,-55.465585,-45,top
D329,LED,LED_0402_1005Metric,188.333085,-55.465585,-45,top
D330,LED,LED_0402_1005Metric,186.583085,-55.465585,-45,top
D331,LED,LED_0402_1005Metric,184.833085,-55.465585,-45,top
D332,LED,LED_0402_1005Metric,183.083085,-55.465585,-45,top
D333,LED,LED_0402_1005Metric,181.333085,-55.465585,-45,top
D334,LED,LED_0402_1005Metric,179.583085,-55.465585,-45,top
D335,LED,LED_0402_1005Metric,177.833085,-55.465585,-45,top
D336,LED,LED_0402_1005Metric,176.083085,-55.465585,-45,top
D337,LED,LED_0402_1005Metric,211.083085,-57.785585,-45,top
D338,LED,LED_0402_1005Metric,209.333085,-57.785585,-45,top
D339,LED,LED_0402_1005Metric,207.583085,-57.785585,-45,top
D340,LED,LED_0402_1005Metric,205.833085,-57.785585,-45,top
D341,LED,LED_0402_1005Metric,204.083085,-57.785585,-45,top
D342,LED,LED_0402_1005Metric,202.333085,-57.785585,-45,top
D343,LED,LED_0402_1005Metric,200.583085,-57.785585,-45,top
D344,LED,LED_0402_1005Metric,198.833085,-57.785585,-45,top
D345,LED,LED_0402_1005Metric,197.083085,-57.785585,-45,top
D346,LED,LED_0402_1005Metric,195.333085,-57.785585,-45,top
D347,LED,LED_0402_1005Metric,193.583085,-57.785585,-45,top
D348,LED,LED_0402_1005Metric,191.833085,-57.785585,-45,top
D349,LED,LED_0402_1005Metric,190.083085,-57.785585,-45,top
D350,LED,LED_0402_1005Metric,188.333085,-57.785585,-45,top
D351,LED,LED_0402_1005Metric,186.583085,-57.785585,-45,top
D352,LED,LED_0402_1005Metric,184.833085,-57.785585,-45,top
D353,LED,LED_0402_1005Metric,183.083085,-57.785585,-45,top
D354,LED,LED_0402_1005Metric,181.333085,-57.785585,-45,top
D355,LED,LED_0402_1005Metric,179.583085,-57.785585,-45,top
D356,LED,LED_0402_1005Metric,177.833085,-57.785585,-45,top
D357,LED,LED_0402_1005Metric,176.083085,-57.785585,-45,top
D358,LED,LED_0402_1005Metric,211.083085,-60.310585,-45,top
D359,LED,LED_0402_1005Metric,209.333085,-60.310585,-45,top
D360,LED,LED_0402_1005Metric,207.583085,-60.310585,-45,top
D361,LED,LED_0402_1005Metric,205.833085,-60.310585,-45,top
D362,LED,LED_0402_1005Metric,204.083085,-60.310585,-45,top
D363,LED,LED_0402_1005Metric,202.333085,-60.310585,-45,top
D364,LED,LED_0402_1005Metric,200.583085,-60.310585,-45,top
D365,LED,LED_0402_1005Metric,198.833085,-60.310585,-45,top
D366,LED,LED_0402_1005Metric,197.083085,-60.310585,-45,top
D367,LED,LED_0402_1005Metric,195.333085,-60.310585,-45,top
D368,LED,LED_0402_1005Metric,193.583085,-60.310585,-45,top
D369,LED,LED_0402_1005Metric,191.833085,-60.310585,-45,top
D370,LED,LED_0402_1005Metric,190.083085,-60.310585,-45,top
